Celltype_1	Celltype_2	Mean_AUROC	Match_type	Avgscore	hierarchy	Celltype_1_group	Celltype_2_group
Mouse|Neutrophils	Human|T cells	NS	NS	0	mh	Mouse	Human
Mouse|Neutrophils	Human|CD8 T cells	NS	NS	0	mh	Mouse	Human
Mouse|Neutrophils	Human|NK cells	NS	NS	0	mh	Mouse	Human
Mouse|Neutrophils	Human|pre-PC	NS	NS	0	mh	Mouse	Human
Mouse|Neutrophils	Human|pro-B cells	NS	NS	0	mh	Mouse	Human
Mouse|Neutrophils	Human|pre-B cells	NS	NS	0	mh	Mouse	Human
Mouse|Neutrophils	Human|B cells	NS	NS	0	mh	Mouse	Human
Mouse|Neutrophils	Human|Plasma cells	NS	NS	0	mh	Mouse	Human
Mouse|Neutrophils	Human|Platelet	NS	NS	0	mh	Mouse	Human
Mouse|Monocytes	Human|Progenitors	NS	NS	0	mh	Mouse	Human
Mouse|Monocytes	Human|Granulocyte progenitor	NS	NS	0	mh	Mouse	Human
Mouse|Monocytes	Human|Erythroids	NS	NS	0	mh	Mouse	Human
Mouse|Monocytes	Human|Neutrophils	NS	NS	0	mh	Mouse	Human
Mouse|Monocytes	Human|Monocytes	0.94	Above_threshold:0.8	0.97	mh	Mouse	Human
Mouse|Monocytes	Human|Macrophage	NS	NS	0	mh	Mouse	Human
Mouse|Monocytes	Human|DC	NS	NS	0	mh	Mouse	Human
Mouse|Monocytes	Human|pDC	NS	NS	0	mh	Mouse	Human
Mouse|Monocytes	Human|T cells	NS	NS	0	mh	Mouse	Human
Mouse|Monocytes	Human|CD8 T cells	NS	NS	0	mh	Mouse	Human
Mouse|Monocytes	Human|NK cells	NS	NS	0	mh	Mouse	Human
Mouse|Monocytes	Human|pre-PC	NS	NS	0	mh	Mouse	Human
Mouse|Monocytes	Human|pro-B cells	NS	NS	0	mh	Mouse	Human
Mouse|Monocytes	Human|pre-B cells	NS	NS	0	mh	Mouse	Human
Mouse|Monocytes	Human|B cells	NS	NS	0	mh	Mouse	Human
Mouse|Monocytes	Human|Plasma cells	NS	NS	0	mh	Mouse	Human
Mouse|Monocytes	Human|Platelet	NS	NS	0	mh	Mouse	Human
