Barcode	tSNE1	tSNE2	tSNE3	celltype
bcBLOG:WT_3	14.5853946524199	-9.32314245136964	-17.0086577453379	Neutrophil
bcBWQD:WT_3	23.5794007524389	16.7907534103893	-6.9875026277842	Erythroid
bcAEVF:WT_3	15.5875907097006	-9.25322932122063	-14.3206742648842	Neutrophil
bcALFM:WT_3	12.7308001751914	29.4031176474261	-10.197316809285	Erythroid
bcEFMA:WT_3	27.1485448506222	17.4493106630242	-7.49866218129011	Erythroid
bcDJPG:WT_3	27.4598557284764	15.7434140481282	-6.78269514804417	Erythroid
bcFHBQ:WT_3	14.9976878019324	-9.06240062911333	-12.7127620542889	Neutrophil
bcAATE:WT_3	11.3802025284708	3.42883110489571	-2.65460280965096	NK/T cell
bcBEFE:WT_3	7.81925706943142	-0.363753088595505	-1.37265230544548	B cell
bcASME:WT_3	14.6653970934054	-8.9234341495054	-13.5945552901527	Neutrophil
bcBMSW:WT_3	28.1480349417366	20.1092802511695	-8.126308638492	Erythroid
bcIDKH:WT_3	24.0115473330378	14.7241718496035	-7.25503334639174	Erythroid
bcAZEB:WT_3	27.424663498919	17.6021735032451	-9.01310294086769	Erythroid
bcDPNR:WT_3	12.1856970579013	1.6164426289693	-1.08594870804162	Macrophage
bcDWLD:WT_3	27.4685384322356	7.0474832508747	-2.5699127829708	Macrophage
bcBXGL:WT_3	26.6565389614301	-5.47528756621277	2.48343128252585	Macrophage
bcADGN:WT_3	12.2316308642104	2.41028805891974	-1.72820437695253	NK/T cell
bcBKSS:WT_3	14.8130449263309	-9.59273324320799	-16.4358312340731	Neutrophil
bcBFKZ:WT_3	24.8893709000772	14.6279547670849	-6.35035298868453	Erythroid
bcDVGN:WT_3	13.8451854825706	28.4080581932216	-9.63557653728322	Erythroid
bcDZWH:WT_3	20.8440790840454	21.3899867203238	-7.36667277616618	Erythroid
bcCMOZ:WT_3	21.0185751378381	-5.52932015506698	-0.752430838543335	Macrophage
bcDIZB:WT_3	10.9330416758725	0.376629220718351	-1.93340763782828	NK/T cell
bcDYGY:WT_3	29.0474768948742	20.5369907632387	-8.2673364087807	Erythroid
bcHJHC:WT_3	24.9105298142837	-4.783251007111	3.61060680571789	Macrophage
bcBLIX:WT_3	7.83584246547586	-0.243028853886585	-1.54918065427597	B cell
bcIHGJ:WT_3	11.8542690981505	-21.1338860661133	-3.05773610732996	Neutrophil
bcAJIC:WT_3	14.3965862572763	-8.21959388560946	-17.0097804878066	Neutrophil
bcEJZI:WT_3	26.2744434268615	-5.16676396400779	1.72971215355343	Macrophage
bcCTYG:WT_3	27.1571687325557	-5.99298027494979	1.31364217975976	Macrophage
bcDZEX:WT_3	22.6329355828099	17.7505463462351	-7.56060766882209	Erythroid
bcDSFV:WT_3	26.8710696928088	-5.67808326814283	1.65614951938165	Macrophage
bcFMMW:WT_3	22.817053248232	17.4567688755719	-7.51336534295407	Erythroid
bcEZOW:WT_3	12.2138710364563	2.60336077269177	-1.95930045922155	NK/T cell
bcGXRV:WT_3	10.7741501803623	30.4478193642469	-10.3893097314772	Erythroid
bcHJJB:WT_3	23.8075177470476	-2.32310176403491	0.95151088547102	Macrophage
bcDAVS:WT_3	27.182278732781	-5.94729448227822	1.35938657943331	Macrophage
bcDGHR:WT_3	26.082446063877	15.423427431176	-6.52155334523924	Erythroid
bcDOPP:WT_3	12.0515891001242	-20.9551115812566	-3.6518258928459	Neutrophil
