Progenitors (MCA)	Erythroids (MCA)	Monocytes (MCA)	Macrophage (MCA)	pDC (MCA)	Basophil (MCA)	T cells (MCA)	NK cells (MCA)	B cells (MCA)	Plasma cells (MCA)	Progenitors (TM10X)	Granulocytopoietic cells (TM10X)	Neutrophils (TM10X)	Erythroids (TM10X)	Monocytes (TM10X)	DC (TM10X)	pDC (TM10X)	Basophil (TM10X)	T cells (TM10X)	B cells (TM10X)	Plasma cells (TM10X)	Progenitors (TMSS2)	Granulocytopoietic cells (TMSS2)	Neutrophils (TMSS2)	Monocytes (TMSS2)	DC (TMSS2)	pDC (TMSS2)	Basophil (TMSS2)	T cells (TMSS2)	NK cells (TMSS2)	B cells (TMSS2)	Plasma cells (TMSS2)
																					OSER1										
																					PHF20										
																					HDAC3										
																					MRPL48										
																					MRPS10										
																					CENPV										
																					XPOT										
																					PELP1										
																					ABCB8										
																					WDR74										
																					SLC35A4										
																					C1orf174										
																					SPATA24										
																					MED7										
																					RLIM										
																					MORN2										
																					CHRAC1										
																					ANKMY2										
																					VPS39										
																					MAGOH										
																					HYI										
																					ZFP1										
																					NCOA7										
																					EIF1B										
																					UTP15										
																					NABP2										
																					N6AMT1										
																					SLC25A23										
																					GOLGA7										
																					NUDT6										
																					FAAP20										
																					SLC25A12										
																					ATM										
																					CDK17										
																					NUDT2										
																					FUNDC1										
																					TRA2B										
																					SRP72										
																					GNL3L										
																					MRPL45										
																					ZNF358										
																					SENP6										
																					ADPRHL2										
																					SERHL2										
																					GPN1										
																					SHQ1										
																					NOA1										
																					UBE2G1										
																					NLE1										
																					FASN										
																					ATRAID										
																					TGIF2										
																					ECHDC1										
																					MRPS16										
																					LTV1										
																					DTX3L										
																					CEP68										
																					CERCAM										
																					EIF2A										
																					PSMG3										
																					CDK5RAP3										
																					INTS7										
																					TTC27										
																					USP9X										
																					ISG20L2										
																					TIAL1										
																					KIAA1671										
																					MRPS18B										
																					BORCS7										
																					ALG2										
																					NDUFS2										
																					LRRC58										
																					UBL4A										
																					HIKESHI										
																					DPM1										
																					LUC7L										
																					MRPS30										
																					ZPR1										
																					KLHDC3										
																					RPP40										
																					PRPF40A										
																					TMA16										
																					NELFE										
																					ENOPH1										
																					EIF2B3										
																					ARL8B										
																					ZFAND1										
																					PTDSS2										
																					CARM1										
																					KRR1										
																					C12orf43										
																					LPCAT3										
																					WASHC3										
																					TRAPPC13										
																					DNLZ										
																					ACYP1										
																					GRAMD1A										
																					ZRANB2										
																					PPM1G										
																					TRNAU1AP										
																					TIMM17A										
																					NFS1										
																					YARS2										
																					ELF2										
																					OGFOD3										
																					HELLS										
																					UHRF2										
																					SDCBP										
																					PFDN2										
																					CTR9										
																					HNRNPA1										
																					PAFAH1B2										
																					MTA3										
																					C12orf10										
																					GSTZ1										
																					SLC7A5										
																					SAC3D1										
																					BATF										
																					DPH1										
																					GMPR2										
																					DCAF4										
																					PITPNB										
																					TMEM186										
																					GFER										
																					MAP1S										
																					TTYH2										
																					NOL12										
																					SNRPC										
																					TWF1										
																					LYSMD2										
																					PSMB4										
																					PRPF6										
																					AMZ2										
																					DNAJB1										
																					UTP6										
																					PPP1R8										
																					PPIL2										
																					RAD1										
																					NOMO1										
																					GALNT1										
																					GHITM										
																					PAK1IP1										
																					RNF126										
																					COMTD1										
																					SDHD										
																					MLF2										
																					FAM210A										
																					CCL27										
																					NACC1										
																					HAX1										
																					SS18										
																					SF3A2										
																					PNKD										
																					PPIH										
																					DDX50										
																					PTCD2										
																					ZNF24										
																					KDM2B										
																					LRRC14										
																					ELOVL5										
																					UQCC1										
																					AAMDC										
																					NAT10										
																					GABPB1										
																					POP5										
																					UBXN8										
																					GMDS										
																					TSPAN14										
																					BCAS2										
																					WDR73										
																					TMEM42										
																					TP53I13										
																					NANP										
																					PSMC6										
																					TADA1										
																					NAA25										
																					METTL5										
																					MTCH2										
																					MED25										
																					MDH2										
																					RCC1L										
																					CASD1										
																					XRCC5										
																					EPB41L4B										
																					ELP5										
																					TIMM17B										
																					ZMYM3										
																					AKR1B1										
																					COQ9										
																					LONP1										
																					LXN										
																					CCDC127										
																					NR2C2AP										
																					MTR										
																					SMC5										
																					TDRD3										
																					ARL1										
																					ARL6IP4										
																					PABPC4										
																					RBM14										
																					CABIN1										
																					CCDC191										
																					BET1										
																					DDX49										
																					C1orf35										
																					MCRIP1										
																					B4GALT4										
																					AP3S2										
																					IVD										
																					CPPED1										
																					FEN1										
																					PHACTR4										
																					COPS6										
																					C6orf136										
																					WAPL										
																					CSNK1D										
																					PPIG										
																					AAAS										
																					WDYHV1										
																					IARS										
																					MRPL27										
																					FDXR										
																					CUL1										
																					MECR										
																					ORMDL2										
																					CDKN2AIPNL										
																					EIF3CL										
																					SLC35A1										
																					SDF2										
																					EI24										
																					CIAPIN1										
																					CHD4										
																					ACAD9										
																					BEND4										
																					CEP97										
																					PRKACA										
																					TUSC3										
																					YWHAH										
																					AASDHPPT										
																					NUDT8										
																					MTFR1L										
																					NAPA										
																					AIFM1										
																					COASY										
																					RIOX2										
																					ACP6										
																					GRSF1										
																					LYRM9										
																					PMPCB										
																					USP11										
																					POMT1										
																					RETREG2										
																					GSE1										
																					HDHD2										
																					HMG20B										
																					FBXL6										
																					MSL3										
																					DLD										
																					JOSD2										
																					GINS1										
																					ANAPC7										
																					ZNF367										
																					CREBZF										
																					DHODH										
																					HTRA2										
																					MAD2L2										
																					ANAPC1										
																					IFT27										
																					AAGAB										
																					EDC3										
																					ZFPM1										
																					RPP25L										
																					GCAT										
																					FIZ1										
																					ARMCX2										
																					SAAL1										
																					NAA15										
																					METTL14										
																					MAP2K5										
																					EEF1AKMT2										
																					PNPO										
																					IGBP1										
																					TSTA3										
																					UBE3A										
																					MCAT										
																					THUMPD3										
																					TPRN										
																					UCK1										
																					DNM1L										
																					ALG8										
																					VAMP7										
																					CIZ1										
																					FRA10AC1										
																					CTC1										
																					DALRD3										
																					GUF1										
																					MRPS35										
																					HNRNPM										
																					CCDC22										
																					NUFIP1										
																					EXOSC4										
																					YBX1										
																					RGS12										
																					GEMIN8										
																					PPIL3										
																					TBC1D13										
																					TM9SF2										
																					CBFB										
																					SLC9A3R2										
																					MRM1										
																					PRPF4										
																					ARMCX3										
																					MRPL22										
																					TRMT6										
																					TMEM91										
																					PCNT										
																					EIF2D										
																					CDC23										
																					CIR1										
																					SRFBP1										
																					GOLT1B										
																					GIT1										
																					NUP43										
																					ELMO1										
																					POLD3										
																					ABHD14B										
																					GEMIN5										
																					ATP10A										
																					ORC2										
																					C8orf37										
																					TBL3										
																					AKAP7										
																					VPS36										
																					KYAT3										
																					GNPDA2										
																					ORC3										
																					CRYZL1										
																					PMPCA										
																					LRP6										
																					STARD7										
																					CTPS1										
																					TMED1										
																					UBE2Q2										
																					FXR1										
																					CEP83										
																					EFCAB14										
																					SDR39U1										
																					MED16										
																					MZT2B										
																					JMY										
																					ADAMTS10										
																					GCG										
																					RBM7										
																					ZBTB45										
																					REPS1										
																					EMD										
																					MSANTD4										
																					THRA										
																					CENPM										
																					ALG3										
																					DPH2										
																					DVL2										
																					IARS2										
																					MARS										
																					USP21										
																					TEX264										
																					RETSAT										
																					PCCA										
																					PSMD14										
																					ZNF76										
																					STK26										
																					SGTA										
																					CHCHD5										
																					QARS										
																					TSPY26P										
																					CCDC86										
																					CFAP97										
																					NDUFAF6										
																					ACAT2										
																					GTF3C5										
																					CHMP2B										
																					DTWD1										
																					KLHL21										
																					RPAP3										
																					EMC4										
																					UBXN1										
																					HMBS										
																					TEX9										
																					PPP6R1										
																					GINS4										
																					CTNNBL1										
																					NIF3L1										
																					UTP20										
																					AFG3L2										
																					POLL										
																					CHCHD2										
																					RAB2A										
																					CNRIP1										
																					NSUN5										
																					MRPS23										
																					BCL9										
																					ANGPTL4										
																					ZNF574										
																					NFX1										
																					RPS9										
																					KLHL22										
																					NADK2										
																					GGT5										
																					MAEA										
																					TMEM175										
																					NUDCD1										
																					DNAJC11										
																					PDP2										
																					TADA2A										
																					KIAA1958										
																					NT5M										
																					TELO2										
																					TOP3B										
																					TOR1AIP2										
																					SLC39A10										
																					MOSPD3										
																					MTG1										
																					MTHFD1L										
																					THAP12										
																					UBXN6										
																					SLC38A10										
																					TEFM										
																					TIMM21										
																					CEBPZOS										
																					HIBCH										
																					TMX1										
																					VPS13A										
																					SCCPDH										
																					RBM34										
																					VPS25										
																					ZNF555										
																					TADA3										
																					WDR24										
																					KHSRP										
																					TPP1										
																					DEXI										
																					WIZ										
																					NUP54										
																					FAAP100										
																					BACE1										
																					PJA1										
																					FUZ										
																					INTS1										
																					RWDD4										
																					PGAP2										
																					DROSHA										
																					HDGFL2										
																					MCCC2										
																					MED22										
																					RAD51D										
																					TARBP2										
																					NTAN1										
																					TP53RK										
																					EIF2S3										
																					LEMD2										
																					TBCD										
																					SUGP2										
																					OXLD1										
																					CAMLG										
																					UAP1L1										
																					RREB1										
																					KCMF1										
																					EML3										
																					RPUSD2										
																					ITGB3BP										
																					POMK										
																					HIRIP3										
																					R3HDM1										
																					MIPEP										
																					PPP1R7										
																					APPL2										
																					MRPS31										
																					RBM28										
																					CARS2										
																					SRP9										
																					POLR3D										
																					INTS5										
																					TYSND1										
																					LSM10										
																					GEMIN6										
																					CCDC47										
																					THAP7										
																					C5orf15										
																					QTRT1										
																					TRAPPC12										
																					TBP										
																					LPIN2										
																					DHRS11										
																					DPY19L3										
																					PSTK										
																					COQ4										
																					TMEM35B										
																					PSMD4										
																					SEC22B										
																					DCTN2										
																					APPBP2										
																					RHOT1										
																					KIF3A										
																					UAP1										
																					ATAT1										
																					ZFPL1										
																					RPAIN										
																					MTX1										
																					SPART										
																					ATPAF1										
																					TBRG4										
																					TMEM230										
																					KAT7										
																					ZNF570										
																					KLF16										
																					FBXO22										
																					ARL14EP										
																					RPUSD4										
																					ZBTB25										
																					RDH14										
																					INTS9										
																					BLOC1S6										
																					FNTB										
																					OMA1										
																					FASTKD2										
																					MPHOSPH10										
																					TTLL12										
																					LUZP1										
																					PCYT2										
																					SNAPC2										
																					C5orf22										
																					C19orf71										
																					KIF2A										
																					DDX42										
																					DOHH										
																					TXNDC9										
																					STARD4										
																					NF2										
																					SUSD1										
																					AMER1										
																					DNPEP										
																					GATC										
																					NDUFS1										
																					FLYWCH1										
																					ZDHHC8										
																					NSMCE3										
																					ATRIP										
																					MLLT11										
																					TCF25										
																					POLI										
																					UBA1										
																					ITPK1										
																					CXorf38										
																					DGCR2										
																					HAUS7										
																					DCAF13										
																					PIAS2										
																					THAP4										
																					DECR2										
																					NDUFAF1										
																					GPRASP1										
																					MLH1										
																					PDHA1										
																					CCDC137										
																					CDK7										
																					KPNA3										
																					SNX15										
																					NUP93										
																					UBR7										
																					GSS										
																					GSTCD										
																					HMG20A										
																					PDCD7										
																					R3HCC1										
																					CEP70										
																					LRPPRC										
																					MRPL53										
																					MKRN2										
																					PSMD9										
																					WDR55										
																					DHRS7B										
																					RRP12										
																					LARS										
																					TMEM94										
																					NT5C2										
																					DIMT1										
																					SURF2										
																					E2F3										
																					FOXO3										
																					RAB11A										
																					FANCF										
																					TIMM22										
																					DHFR										
																					ZFP64										
																					GIPC1										
																					CERS4										
																					TFB1M										
																					DCAF1										
																					SAYSD1										
																					PGPEP1										
																					MDC1										
																					TMEM208										
																					PSMF1										
																					PEX6										
																					GALT										
																					TMEM209										
																					APOOL										
																					VARS2										
																					MRPS22										
																					HADHB										
																					NDRG3										
																					LEO1										
																					ZNF560										
																					PPME1										
																					ADCK1										
																					ZZZ3										
																					SETDB1										
																					PHTF1										
																					APIP										
																					METAP1D										
																					BABAM2										
																					VRK3										
																					APOO										
																					TXNDC12										
																					NCBP1										
																					ENTPD6										
																					DUSP23										
																					C3orf14										
																					GNL1										
																					TTC1										
																					TSHZ1										
																					BCLAF3										
																					ZNF48										
																					SERTAD2										
																					OGG1										
																					TRMT5										
																					MNS1										
																					CINP										
																					PCM1										
																					SMIM7										
																					RSRC1										
																					MRPS9										
																					WDR41										
																					SLC39A7										
																					CHMP6										
																					SYMPK										
																					HGH1										
																					ACTR1B										
																					FAM219B										
																					CAMSAP1										
																					GTF2H3										
																					AARS										
																					EED										
																					GTF3C4										
																					BCL9L										
																					DUS1L										
																					CFAP36										
																					TMEM161A										
																					FARS2										
																					LZTFL1										
																					NOC3L										
																					MRPL32										
																					DPCD										
																					INTS10										
																					CYP20A1										
																					AGAP3										
																					C19orf47										
																					AP4S1										
																					GTF2E2										
																					SLC25A22										
																					MPV17										
																					LDLRAP1										
																					HRAS										
																					FAHD2A										
																					ABL2										
																					BTBD9										
																					ZBTB20										
																					JOSD1										
																					RANGAP1										
																					LONP2										
																					COPS2										
																					TXNRD2										
																					TOR1B										
																					AKT2										
																					DUS3L										
																					TMEM181										
																					COX10										
																					U2AF1L4										
																					COX18										
																					SNAP47										
																					RPAP2										
																					C1orf53										
																					ILKAP										
																					ZBTB21										
																					ANKRD26										
																					NPRL3										
																					PEX19										
																					SLC7A1										
																					CNPY4										
																					IMPACT										
																					CUL4A										
																					ETF1										
																					FAM110A										
																					PEX14										
																					PUS3										
																					ZBTB38										
																					NUDT9										
																					ABL1										
																					STAU1										
																					TYW1										
																					C12orf65										
																					GSTT2										
																					DIS3										
																					RENBP										
																					POGLUT1										
																					ACADVL										
																					TOMM40L										
																					EXOSC9										
																					USP36										
																					NUP133										
																					NUP155										
																					CHAMP1										
																					PSPC1										
																					DIS3L2										
																					MMGT1										
																					CCAR2										
																					GCDH										
																					ZNF282										
																					ING5										
																					DMAP1										
																					CCDC43										
																					CCDC91										
																					FBXW8										
																					MLYCD										
																					P4HA1										
																					EXO1										
																					POP4										
																					TRMT11										
																					LRRC1										
																					KBTBD4										
																					WDR45										
																					SREBF1										
																					SUMF2										
																					MED29										
																					GPSM1										
																					TMEM69										
																					SH3GLB2										
																					APEH										
																					SNRNP48										
																					ZNF317										
																					ARPC1A										
																					ALG14										
																					GTF2H4										
																					ERLIN2										
																					FECH										
																					ACSF3										
																					CCDC163										
																					PINX1										
																					DNAL4										
																					MPHOSPH6										
																					TTC37										
																					SMIM26										
																					ASPSCR1										
																					DHX33										
																					RNASEH1										
																					OTUD6B										
																					AFDN										
																					COIL										
																					POFUT2										
																					FZR1										
																					FANCL										
																					PIGQ										
																					GTF2F2										
																					PDXDC1										
																					CDT1										
																					LCMT2										
																					ZDHHC4										
																					SETD3										
																					RPAP1										
																					DCXR										
																					MMADHC										
																					RABGGTB										
																					ATG4B										
																					NOL10										
																					C17orf80										
																					TTI1										
																					FTSJ1										
																					PPCS										
																					ALG9										
																					CTDSPL2										
																					GAS2L3										
																					UBIAD1										
																					MAVS										
																					GTF2F1										
																					ATXN2L										
																					ERCC1										
																					ZCCHC10										
																					ZNHIT3										
																					ZNF395										
																					ZNF496										
																					CIPC										
																					MRPL47										
																					WDR92										
																					COA7										
																					ILVBL										
																					DDX19A										
																					TBC1D5										
																					MITD1										
																					FAM114A2										
																					CSTF2T										
																					SCFD2										
																					ARL4A										
																					DBR1										
																					BAG4										
																					AAR2										
																					THAP2										
																					ATR										
																					TMEM115										
																					ETAA1										
																					METTL17										
																					CBY1										
																					YIF1A										
																					SLC10A3										
																					NAE1										
																					CDC27										
																					ELP4										
																					URGCP										
																					RCE1										
																					DAG1										
																					ZNF565										
																					DZIP3										
																					DGCR8										
																					DARS2										
																					MOCS2										
																					RNF6										
																					IAPP										
																					MLLT1										
																					SMIM12										
																					COPS8										
																					ZNF598										
																					ETFDH										
																					MTO1										
																					LIN37										
																					DSCC1										
																					CEP78										
																					MIB1										
																					NFKBIL1										
																					INTS4										
																					FEM1B										
																					KANSL3										
																					VCPKMT										
																					METAP1										
																					SCAF1										
																					ASL										
																					COQ6										
																					ELAC2										
																					EIF2AK4										
																					PIM3										
																					YEATS2										
																					ACSF2										
																					GET4										
																					BTD										
																					POT1										
																					SMARCAL1										
																					RNF135										
																					SEC22A										
																					BRD7										
																					MALSU1										
																					CYB561D2										
																					ING4										
																					NDOR1										
																					WRAP73										
																					ARMC5										
																					ARRDC1										
																					EXO5										
																					ZNF397										
																					TNIP2										
																					SLC30A7										
																					CNOT11										
																					ANKRD27										
																					ANAPC4										
																					ACACA										
																					NCOA5										
																					SMOX										
																					CPT2										
																					SIAH1										
																					TPRKB										
																					PLA2G15										
																					TRMT10A										
																					GANAB										
																					RNFT1										
																					TXLNG										
																					CUL4B										
																					KAT14										
																					NUP188										
																					COMMD3-BMI1										
																					PHC1										
																					TRAPPC9										
																					QRICH1										
																					CROT										
																					ORC5										
																					JUP										
																					SUPV3L1										
																					MAFK										
																					SYNE3										
																					UNK										
																					FKRP										
																					ARHGAP21										
																					ZNF319										
																					EXOC4										
																					DPH7										
																					EBAG9										
																					WDR82										
																					MTCP1										
																					GALK2										
																					TMSB15B										
																					ABT1										
																					OPA3										
																					NCDN										
																					HERC6										
																					NUDT7										
																					PSKH1										
																					MANBA										
																					PEX5										
																					TFB2M										
																					NFYA										
																					DDX20										
																					PNPT1										
																					ABRAXAS1										
																					PLPBP										
																					ZNF322										
																					ZNF865										
																					STX12										
																					PRKDC										
																					SERPINI1										
																					C12orf45										
																					SCMH1										
																					TOE1										
																					XPO5										
																					SMPD4										
																					ZC3H6										
																					PDCL3										
																					ITFG2										
																					MAD1L1										
																					MED26										
																					RMND1										
																					BNIP3										
																					MAIP1										
																					ZEB1										
																					PPIP5K2										
																					ZNF687										
																					ZNF808										
																					LRRC40										
																					METTL3										
																					MRE11										
																					RAB2B										
																					RBM4B										
																					CDK16										
																					TSC2										
																					RNF8										
																					NUP205										
																					ESS2										
																					PPHLN1										
																					MED18										
																					RMDN3										
																					MPST										
																					CUTC										
																					SLX1A										
																					TDP1										
																					NAA16										
																					RFT1										
																					METTL6										
																					CRK										
																					C1orf122										
																					DNAJB4										
																					ZNF787										
																					ZFYVE19										
																					CCDC77										
																					TWSG1										
																					COG7										
																					HS2ST1										
																					LIG3										
																					C11orf1										
																					WDR48										
																					MTG2										
																					SMAD2										
																					WDR13										
																					SRRD										
																					ERAL1										
																					ECSIT										
																					CCDC28A										
																					PGGHG										
																					RAB12										
																					TTC32										
																					PTDSS1										
																					GTPBP8										
																					TBC1D15										
																					C17orf75										
																					HPS4										
																					XXYLT1										
																					CLPX										
																					TMPPE										
																					DHX37										
																					MRPL1										
																					TERF1										
																					ERCC2										
																					CDK10										
																					PPP2R3C										
																					LRRC42										
																					ATG10										
																					MAN2C1										
																					HIST1H3I										
																					ZNF280C										
																					GFM1										
																					UBXN2B										
																					CPSF4										
																					KAT6B										
																					ZNF451										
																					WDR45B										
																					ZNF839										
																					GPAT4										
																					MAPK8										
																					COX15										
																					SPATA5										
																					GPATCH1										
																					INPP1										
																					TMEM101										
																					ZSCAN21										
																					PRR12										
																					ASCC2										
																					COMMD9										
																					MPDU1										
																					PDK2										
																					NAGLU										
																					YIPF5										
																					ZMYM1										
																					MKKS										
																					RNF214										
																					PRMT6										
																					SCAF4										
																					TAF1C										
																					EXOC7										
																					MOB3C										
																					PIGC										
																					TNPO3										
																					SETD1A										
																					GRPEL2										
																					ZSWIM7										
																					UBA3										
																					LANCL2										
																					NRDE2										
																					ALKBH1										
																					LZIC										
																					FBXO31										
																					FAM3A										
																					TAF6L										
																					OGFOD2										
																					PI4K2B										
																					PRADC1										
																					STAM										
																					CFL2										
																					ABHD10										
																					PUS10										
																					ACOX1										
																					PPP2R1B										
																					ARFIP2										
																					AP2A1										
																					VPS33B										
																					CXorf40A										
																					SGMS1										
																					COG4										
																					DDX28										
																					DIS3L										
																					ATP13A1										
																					GDE1										
																					KIF1BP										
																					PRR3										
																					CCDC61										
																					PDE6D										
																					ZNF212										
																					ASB8										
																					TIMM29										
																					NMT2										
																					ZNF57										
																					FANCE										
																					MORC2										
																					STAMBP										
																					TAB1										
																					SLC39A9										
																					HARS2										
																					ERLEC1										
																					ZNF410										
																					SMIM19										
																					ZNF639										
																					FBXL17										
																					RPS6KA5										
																					PIGK										
																					TMEM135										
																					FUT11										
																					KCTD13										
																					NT5DC1										
																					SLC25A20										
																					INPP5E										
																					PHKA2										
																					TNPO1										
																					ZADH2										
																					TPGS2										
																					SCO1										
																					CYTH2										
																					MAP3K4										
																					CEP63										
																					RABGGTA										
																					LLGL1										
																					DNAJC24										
																					MED17										
																					ZBTB14										
																					RBM48										
																					LENG1										
																					PCED1A										
																					HSPA13										
																					ALKBH3										
																					IFT46										
																					CEP85										
																					TMEM129										
																					COG1										
																					TMCO6										
																					NIT1										
																					IMPAD1										
																					CTU2										
																					DSTYK										
																					WDR83										
																					CUL2										
																					ZNF280D										
																					PTGES2										
																					PLEKHA3										
																					THAP1										
																					USB1										
																					LGALS8										
																					DDX55										
																					CBWD1										
																					GTF2E1										
																					SMPD2										
																					ORC4										
																					KATNA1										
																					COX11										
																					RBM15B										
																					SNAPC1										
																					FAM126B										
																					ELL										
																					PDHX										
																					KAT5										
																					UTP23										
																					TTC13										
																					MPHOSPH9										
																					R3HDM2										
																					COG2										
																					FOXK2										
																					ETFRF1										
																					MMS19										
																					PIGN										
																					CENPO										
																					TMEM126B										
																					MTERF3										
																					NUP35										
																					LZTR1										
																					KIAA0586										
																					PLEKHB2										
																					MBIP										
																					CENPN										
																					SCLT1										
																					ZDHHC12										
																					IPO13										
																					BAIAP2										
																					KATNB1										
																					GRHPR										
																					HAUS2										
																					FAM156B										
																					DXO										
																					TMCO4										
																					KLC4										
																					L3MBTL2										
																					LARS2										
																					NUDT18										
																					ZGPAT										
																					CEP95										
																					USP40										
																					DCAF10										
																					CDADC1										
																					SPNS1										
																					TNPO2										
																					MPG										
																					PEX16										
																					STK19										
																					DENND4C										
																					CASP4										
																					UCKL1										
																					CLASRP										
																					TMEM199										
																					ZNF524										
																					ACTR5										
																					ZNF18										
